Sample Number,Group,2-Oxoisocaproate,3-Hydroxybutyrate,3-Methyl-2-oxovalerate,Acetate,Acetone,Alanine,Allantoin,Arginine,Asparagine,Aspartate,Betaine,Carnitine,Choline,Creatine,Creatine phosphate,Creatinine,Cysteine,Dimethyl sulfone,Dimethylamine,Formate,Fructose,Glucose,Glutamate,Glutamine,Glycerol,Glycine,Hippurate,Histidine,Inosine,Isoleucine,Lactate,Leucine,Lysine,Malonate,Methionine,O-Acetylcarnitine,Phenylalanine,Proline,Propionate,Pyruvate,Sarcosine,Serine,Succinate,Threonine,Thymine,Trimethylamine N-oxide,Tryptophan,Tyrosine,Urea,Valine
BHS1371,Early_SM,0.192625739,-0.258113683,0.31801415,0.212269196,0.474227461,-0.904704732,-0.697852687,1.108215511,0.915902685,1.212395613,-0.261667452,0.644318063,-0.831381774,-1.747825653,-0.287473031,0.596357194,0.447391665,-1.197554758,-0.695188456,0.193395173,0.220440073,-1.46202671,0.315275286,1.207137679,-0.832024602,-1.083598949,0.201051646,1.027753324,-0.008434708,-0.362872755,-1.221825964,-0.86595812,-0.152322286,0.218665233,-0.396820662,-0.061422644,-1.368250658,0.708805925,-0.408129308,-0.435890292,0.573718933,2.136560152,0.487346245,0.6353607,-0.907355555,-0.617531126,-2.026200626,-1.237947433,-2.04203461,-0.750189563
BHS1651,Early_SM,-0.77469407,-0.612428258,-1.142100696,0.14983813,-0.080593939,-0.181976495,0.632218926,-1.458321362,0.358832357,-0.591149914,0.896004157,0.276112992,-0.541482021,0.044093171,-0.212586728,0.026470936,0.246326681,-0.958624765,0.312936814,-0.395624469,-0.130377764,0.360424369,-0.618023071,-0.766241749,-0.930200265,-0.12156736,-0.40949141,-0.575977001,-0.045068275,0.259056696,0.575097179,0.773480666,0.36501633,-0.603457737,0.815478376,-0.037941675,0.08757421,0.731064966,0.027286613,0.233158488,-0.496277423,-0.503263943,0.931774721,0.80218539,-0.624145888,-0.357569404,0.079179399,0.607106418,-0.700039556,0.177660763
BHS1652,Early_SM,-0.154427616,-0.313625511,0.154286326,-0.430892544,0.420644759,0.449899472,0.390365802,-0.810223456,0.413461104,-0.208794636,0.773614226,0.571011926,0.698305358,1.023809632,1.368858181,-1.051331198,-0.373688674,0.006732227,0.862054489,0.094056104,-0.313242861,0.212897151,-1.320550686,-0.732886355,-0.443111631,0.327177789,-0.448074308,-1.073049621,-0.177254829,0.368736267,0.070297593,0.127134923,0.431726234,-0.362158714,1.161540111,0.921464245,0.492340695,0.591094841,-0.408129308,0.80300925,0.366902843,-0.566394212,0.142451808,0.782076359,-0.668418541,0.544987128,0.969204356,-0.142038607,-0.064229965,-0.070275562
BHS1653,Early_SM,-0.087351359,0.108831394,-0.05280296,-0.321943028,0.989972369,-1.158940422,0.064521176,-0.754887564,-2.085926057,-1.110336313,1.67600091,-0.065129287,0.353918621,0.05614059,-0.447449942,-0.416404165,-1.419241075,1.081980717,-0.352207831,-0.193876545,-1.084380144,0.822071483,-0.418845399,-1.019579085,0.249691596,-0.733216099,-0.930986356,-1.143395592,-0.075710148,-0.969975018,0.456817358,-0.273479119,-1.135046957,0.589245208,-0.252568637,-0.220758668,-1.263152248,-0.53634913,-0.34834884,1.296413366,-1.378948542,-0.942396338,-0.279862037,0.239981588,-1.730478312,0.364975252,-1.485664513,-0.667248986,-0.260273062,-0.755783123
BHS1654,Early_SM,0.26949717,0.183076666,0.097002976,0.265862695,-1.534052282,1.136125399,1.479079362,-0.22798741,-0.012881378,-0.368589293,1.660771595,0.390427476,1.539983217,0.376290319,-0.679630314,-0.14852344,0.545879324,0.250931401,0.102512081,-1.45478341,0.576984755,0.596306069,-0.502176254,-0.323175816,1.2501789,0.731763637,0.328943288,-0.92328529,1.023931873,1.402820024,1.417251581,1.417319488,0.970082152,-0.137774888,1.217485256,0.88406034,0.593059428,1.071875847,-0.448977739,1.408466902,-1.378948542,-0.817263247,-0.55991837,0.932884688,-0.907355555,-0.24975901,-0.015562865,2.089231858,-0.463639732,1.224006543
BHS1655,Early_SM,0.761722299,-0.252001253,1.092703438,-0.36962003,0.146327912,0.057630094,-0.161534106,-1.296008195,-0.998799971,-0.100875149,1.263321041,0.079609347,-1.492802756,0.792863045,-1.288200192,-0.216413134,-0.008186284,-0.135298621,0.244567679,-0.010403347,-1.447362753,0.863792158,-1.092651308,-1.373786831,0.064552319,-0.098661571,-1.234810899,-1.539986816,-0.261578192,1.391996386,-0.736750013,0.165581702,0.902743077,-0.82025733,1.668803095,-1.109682446,1.101944854,-0.482474241,0.882441132,1.242479376,-0.151563791,-0.592817379,-0.232332664,0.158890772,-0.063090722,1.102529141,1.05293951,1.108647537,-0.248711529,1.775209886
BHS1656,Early_SM,0.062021488,1.481939683,-0.224188595,0.681474522,-1.567696199,0.580118814,1.305465042,0.189445547,0.627162517,0.558610005,1.547701786,-0.087233149,0.955642568,0.567044091,-0.660651074,-0.50316762,1.18146267,-0.260931237,0.705584035,-1.058889755,0.100577144,0.565659502,-0.384966725,-0.780952133,1.014947153,0.237590018,0.414041404,-0.883699308,0.740634724,1.578248225,0.925454371,1.42188588,0.60913701,-0.080689926,1.161540111,0.440613595,0.282099702,0.823271111,0.091618026,1.517212814,-0.328410047,-0.409942305,-1.152791762,1.321432714,-0.417498391,0.540748478,0.105821439,1.043704042,-0.12218922,1.173755016
BHS1657,Early_SM,1.422964859,0.71892605,1.636296905,0.67486482,0.883054727,-0.64003233,-0.614581582,-1.642862751,-1.161372556,-0.617211525,0.624516888,0.682352349,0.918543092,0.976168608,-1.20931867,0.13095756,-0.076639759,0.210673488,-0.205694043,0.296485917,-0.364424389,0.931733344,-1.330536573,-0.858630907,0.749363003,-0.963702951,1.29182513,-0.560979737,0.072404802,-1.204754249,-0.875568205,-0.540705248,-0.206941526,-0.647365858,-0.078789908,0.61048108,-0.984119123,-0.907979643,1.027644137,0.524966811,-1.606543521,-0.377094766,-0.04107606,0.450392718,-1.897614045,0.877204742,-0.344567595,-0.69074362,-0.50090133,-0.324255552
BHS1658,Early_SM,-0.927719609,-0.159627197,-1.192459089,-0.410903021,0.393348938,-0.721671557,-0.238880441,-0.601317483,-2.682236082,-1.242848941,0.934038134,0.324321248,0.588230569,-0.062484907,-0.044788548,-0.748201144,-0.927085623,0.14103241,-0.439571236,-0.673040004,-1.047446124,0.328284864,-1.129152109,-0.908933607,-0.288914788,0.309727528,-0.360084912,-0.355866699,0.393619361,0.161354684,0.57794603,-0.430777032,0.525374915,-0.161392552,0.865065484,0.325837945,0.08757421,-1.076071481,0.31627874,1.728501858,-1.450554069,-0.886822331,0.446749022,0.730902558,-1.369077006,0.939158405,-0.329656437,0.573158263,0.249511325,0.101413585
BHS1659,Early_SM,0.784555369,-0.47927756,1.160550552,-0.599330227,0.09965968,-0.016197509,1.010977649,-1.269286692,-0.930329818,-0.72440322,1.014131115,1.162618014,0.545790095,0.404834086,1.124150127,-0.790644475,0.344340877,0.751228559,0.492637906,0.13981458,-0.36250255,1.050297956,-0.995066199,-0.837204979,0.815269394,0.513797784,-0.593806747,-1.143395592,0.195154299,-0.278517968,-0.000728357,0.14320224,0.622858025,-0.480631145,0.937308469,0.183545189,-0.27228866,-0.336389455,-0.215311358,-0.37218323,0.309726498,-0.706176303,-0.922259836,0.00112199,-0.857017442,-0.291324851,0.249112713,0.038024658,-0.200106827,0.302862213
